# qx_over_a qy_over_b Re_chi Im_chi
# num_k=200, num_q=100, n_orb=8, kT=0.001, mu=0.06, omega=0.0, eta=0.002, n_processes=80
-8.6739400271676770e-01 -1.0054705244326374e-02 1.0730198084402348e+01 3.0849814705959558e-05
-8.6739400271676770e-01 7.1065644079062674e-17 1.0730255898532112e+01 3.0844911381704383e-05
-8.6739400271676770e-01 1.0054705244326445e-02 1.0730198084402348e+01 3.0849814705959856e-05
-8.6739400271676770e-01 2.0109410488652890e-02 1.0730024960455122e+01 3.0864528075530693e-05
-8.6739400271676770e-01 3.0164115732979335e-02 1.0729737478956709e+01 3.0889061626885583e-05
-8.6739400271676770e-01 4.0218820977305780e-02 1.0729337216887636e+01 3.0923432073334808e-05
-8.6739400271676770e-01 5.0273526221632225e-02 1.0728826360989755e+01 3.0967662430623135e-05
-8.6739400271676770e-01 6.0328231465958670e-02 1.0728207687302564e+01 3.1021781626297452e-05
-8.6739400271676770e-01 7.0382936710285046e-02 1.0727484535631127e+01 3.1085823986421010e-05
-8.6739400271676770e-01 8.0437641954611491e-02 1.0726660779475720e+01 3.1159828591391820e-05
-8.6739400271676770e-01 9.0492347198937936e-02 1.0725740792018122e+01 3.1243838490826826e-05
-8.6739400271676770e-01 1.0054705244326438e-01 1.0724729408799474e+01 3.1337899765665683e-05
-8.6739400271676770e-01 1.1060175768759083e-01 1.0723631887740952e+01 3.1442060423977137e-05
-8.6739400271676770e-01 1.2065646293191720e-01 1.0722453867153602e+01 3.1556369115156335e-05
-8.6739400271676770e-01 1.3071116817624365e-01 1.0721201322360224e+01 3.1680873645615027e-05
-8.6739400271676770e-01 1.4076587342057009e-01 1.0719880521515059e+01 3.1815619277385427e-05
-8.6739400271676770e-01 1.5082057866489645e-01 1.0718497981158263e+01 3.1960646789485366e-05
-8.6739400271676770e-01 1.6087528390922298e-01 1.0717060421987759e+01 3.2115990280350675e-05
-8.6739400271676770e-01 1.7092998915354934e-01 1.0715574725271845e+01 3.2281674688029408e-05
-8.6739400271676770e-01 1.8098469439787587e-01 1.0714047890266158e+01 3.2457713003258747e-05
-8.6739400271676770e-01 1.9103939964220223e-01 1.0712486992939960e+01 3.2644103148813175e-05
-8.6739400271676770e-01 2.0109410488652862e-01 1.0710899146259838e+01 3.2840824496530373e-05
-8.6739400271676770e-01 2.1114881013085512e-01 1.0709291462225874e+01 3.3047833991084184e-05
-8.6739400271676770e-01 2.2120351537518151e-01 1.0707671015805895e+01 3.3265061846590431e-05
-8.6739400271676770e-01 2.3125822061950801e-01 1.0706044810867697e+01 3.3492406778178175e-05
